,Depression
66834,0
130827,0
50695,0
73627,0
62234,0
16539,0
13933,1
118716,0
46182,0
92164,0
26561,0
118837,0
846,0
41204,0
64657,0
68256,0
96713,1
94339,0
83995,0
119163,0
120677,0
132463,1
110561,0
67511,0
121593,0
72329,0
126032,0
12230,0
119703,1
78043,0
53035,0
109372,0
24061,0
139410,0
16283,0
48686,0
58425,1
108969,0
30336,0
122477,0
117087,0
117265,0
99417,0
91263,0
42478,0
114431,0
116750,0
105114,0
139036,0
20644,0
37977,0
77864,0
110960,0
88452,0
15521,0
139181,0
4072,0
108761,0
52818,0
72317,0
98821,0
46639,0
92556,1
42767,0
51643,0
74512,0
48517,0
48067,0
55415,1
138687,0
84796,1
8461,0
114755,1
137714,0
76221,0
712,1
60281,0
36039,0
42255,1
2489,0
54799,0
26869,0
139225,0
70658,0
91240,0
125232,0
119477,0
29499,0
116883,0
81059,1
23962,0
58919,1
67248,1
52527,0
56369,0
1592,0
123101,1
38457,0
89486,0
78747,0
108297,0
109846,1
115080,0
137456,0
50628,1
15737,0
70870,0
43242,0
115175,0
94428,0
19587,0
123706,0
9689,0
96780,0
121650,0
8658,0
121638,1
111814,0
57515,0
28047,0
138367,0
24783,0
14627,1
73883,0
89698,0
33157,1
88375,1
64134,0
5541,1
72061,1
83900,0
73337,1
88380,0
68847,0
96135,0
37260,0
112444,0
94344,0
47447,0
48027,0
1868,0
14632,0
41982,0
123853,0
62452,0
112135,1
8515,0
31841,0
92080,0
6177,1
50256,0
70030,1
44546,0
68015,1
108679,0
97953,0
53350,0
22489,0
109622,0
2204,0
2387,0
69046,0
2081,0
125029,0
130871,0
40767,0
73778,0
29087,1
29509,0
20588,1
139785,0
131957,0
98410,0
92107,1
67146,0
69857,0
113436,0
51751,1
47925,0
100167,0
60014,0
79101,0
54470,0
55806,0
26661,0
83570,0
90180,0
20367,1
97997,1
29760,0
25030,1
65012,0
54240,1
45604,0
133165,0
100986,1
61213,0
114506,0
22562,0
72137,0
17805,0
21110,0
90787,0
22098,0
32562,0
136969,0
90416,0
134926,0
48584,0
126527,1
39892,0
74036,0
51141,0
107469,0
96490,0
93915,0
121163,1
49880,0
26050,0
72133,0
96218,0
8985,0
4626,0
76960,0
27780,0
55025,1
85027,0
32346,0
66348,0
118974,0
47500,0
120268,0
108318,0
39013,0
41598,0
107034,0
49609,0
86145,0
75126,0
46324,0
7097,0
126173,0
16346,0
9226,1
54757,0
58879,0
35788,0
100546,0
117426,1
17470,0
104461,0
116797,0
7677,0
52368,0
48113,0
105279,0
27578,0
25626,0
138308,0
105706,0
86522,0
61151,0
62023,0
136421,0
91247,0
83270,0
114296,0
34538,0
45888,1
72921,0
53476,1
38354,0
124119,0
41474,1
15579,0
97283,0
82991,0
72624,0
138567,0
127242,0
69062,0
47584,0
128944,0
124809,0
23261,0
49475,0
45752,0
70070,0
30301,1
134168,1
139381,0
55254,0
1325,0
135216,0
130009,1
7540,0
21229,0
34763,0
61153,0
139819,0
7690,1
81740,0
45174,1
110648,0
26301,0
52508,0
91431,0
12908,0
30360,0
111011,1
77361,0
90697,0
4251,0
84185,0
74728,0
54719,0
68777,0
10046,0
130229,0
93656,0
12574,0
35502,0
118797,0
125460,0
123660,0
53480,0
62961,0
97047,0
83554,0
29874,1
58303,1
79430,0
119897,0
111040,0
103744,1
121377,0
60745,0
57185,0
9664,0
42023,0
34492,0
77485,0
112970,0
105032,0
122019,0
130530,0
60446,1
84138,0
130920,0
14743,0
96257,0
104693,0
44220,0
87474,0
62965,0
109479,0
5630,0
104918,1
78807,0
118633,0
63905,0
59538,0
40302,0
109172,0
96586,0
28817,0
93387,1
70832,0
131127,0
118105,0
50312,0
78537,0
22160,0
72156,0
108321,1
76509,0
66204,1
122822,0
90754,0
68388,0
62626,0
43897,0
103428,0
41271,1
72524,0
29670,1
110443,1
127615,0
129557,0
12382,1
77220,1
101457,0
91684,0
78567,1
673,0
109020,0
133814,0
50743,0
129151,0
54282,0
112887,1
821,1
68746,0
92900,1
48096,0
125889,0
17714,0
117439,0
137616,1
28788,0
110429,1
88994,0
140024,1
43378,0
94856,0
6803,0
93814,0
29192,0
5860,0
101440,1
92137,0
9682,0
63456,0
50843,1
44240,1
86356,0
114907,0
94029,0
11982,1
11064,0
12722,0
133650,0
58081,1
52413,0
121967,0
119465,0
15245,0
113416,1
28906,0
23516,0
138331,0
19218,0
60224,0
58594,0
21939,0
7667,0
83502,0
69492,1
43599,1
120245,0
12379,0
89317,1
101743,0
93306,0
121915,0
22009,0
416,0
77890,0
134036,0
630,0
28926,0
39246,0
67076,0
36177,0
65287,0
81552,0
36699,0
123095,1
44910,0
62002,0
126222,0
42194,0
87459,0
64227,1
46298,1
3285,0
78550,0
122167,0
58967,1
109546,0
19264,0
6313,0
115768,0
81209,0
17795,0
401,1
56466,0
15984,0
6832,0
65858,0
136194,0
48207,0
24501,1
107169,0
22979,1
62062,0
102360,0
72683,0
123970,1
33226,0
129574,1
13267,0
82333,0
96062,0
118127,0
8268,0
67151,1
121864,0
11653,0
101943,0
74172,0
36719,1
76388,0
2522,0
108234,0
19126,1
138497,0
117373,0
73455,0
26689,0
52638,0
49185,0
84011,0
5641,0
46334,0
128595,0
81856,0
39059,1
26598,0
95465,0
60259,0
63495,0
85583,1
12226,1
24871,0
33341,0
69352,0
86815,0
58473,0
77194,0
89794,0
117241,0
53715,0
42666,0
10191,1
118913,1
63343,0
71629,0
49457,0
71108,0
26789,1
33068,0
137192,0
101700,0
1092,0
90088,1
40049,0
9236,0
429,0
90965,1
40779,1
129405,1
54938,1
75330,0
9094,0
88484,0
132647,0
50650,0
131871,1
110228,0
117575,0
6417,0
68839,0
1544,0
16131,0
134722,1
106073,1
7792,0
80933,0
504,0
4426,0
52252,1
122805,0
85569,0
93808,0
68427,0
138127,0
96481,0
57818,0
7141,0
37444,0
102981,0
16581,1
65759,0
97666,0
91858,1
50775,0
131901,1
129174,0
100345,0
17296,0
38753,1
132670,0
68365,0
90908,0
74077,0
88404,0
113109,0
99740,0
73216,0
128839,0
115459,0
63840,0
110935,0
135806,0
61020,0
4058,1
19193,0
17873,0
53663,0
11804,0
126906,0
66284,0
140506,0
56582,0
8137,1
36588,1
138358,0
131798,1
75486,0
136205,0
63057,0
66610,0
33894,0
103058,0
114136,0
130604,1
36279,1
108490,0
130707,0
80514,0
42819,1
59066,0
108556,1
9806,1
26349,1
137099,0
139213,0
4574,0
29804,0
103550,0
11567,0
92417,0
35048,0
36113,0
87407,0
118226,0
54668,1
90398,0
2532,0
33115,0
19831,0
74759,0
131943,0
113542,0
8158,1
118893,0
126246,1
34638,0
80400,1
78465,0
137623,0
83963,1
123286,0
32672,0
88604,0
132417,0
68044,0
32175,0
95727,0
70714,0
123962,0
85344,0
29302,0
60735,0
69421,0
75155,1
57778,0
115264,0
131975,0
72101,0
19222,0
62237,0
12798,0
49803,0
117560,0
78225,1
100677,0
52666,0
37825,1
56658,0
1810,0
115983,0
27163,0
88527,0
112097,0
8289,1
7107,1
78010,0
1483,0
40138,0
13866,0
24483,0
119087,0
16533,0
53365,0
49084,1
119507,0
71168,0
66258,0
52103,0
27137,0
77166,0
20695,0
103003,0
44229,0
52738,0
15237,0
128106,0
107370,0
10770,0
78689,0
128049,0
5478,0
74054,0
111236,0
12973,0
120700,0
127909,0
120185,0
135848,0
55996,0
57998,0
102232,0
57456,0
135694,1
41169,0
113480,0
59290,0
130131,0
67568,0
133385,0
78540,0
55922,0
59348,0
39664,1
7499,0
125311,0
97534,0
30212,0
96545,1
81253,0
98149,0
8434,1
69764,0
38418,0
77158,0
69746,0
73131,0
85081,0
132146,0
124800,0
124225,0
126213,0
56147,0
44667,1
73768,0
78171,0
20849,0
41953,0
52224,1
8475,0
106429,1
114319,0
89195,0
132024,0
104753,0
17725,0
55591,0
3098,1
105013,0
127664,0
134412,0
104848,0
4790,1
126652,0
52291,0
123181,0
114902,0
56690,0
110386,0
73783,0
38973,0
91499,0
76044,1
57816,1
49965,1
104285,0
111352,0
109251,0
98611,0
14245,0
8199,0
116554,0
40623,0
77396,0
123640,0
21685,0
127170,1
39699,0
66827,1
115049,1
58663,0
135323,0
105231,0
12858,0
4031,0
69150,0
61946,0
99151,1
52873,0
29700,0
37659,0
119116,0
100376,0
116064,0
80469,0
73433,0
11931,1
28209,0
69327,0
109340,0
17694,0
56134,1
122391,0
135915,0
61487,0
139402,0
19874,1
102722,1
107396,1
36122,0
124396,0
62457,0
4936,0
75796,1
130541,0
70770,1
95012,0
73204,0
79895,0
68143,0
95543,1
15127,0
110201,0
105821,0
66424,0
89279,0
81204,1
65823,0
95930,1
53082,0
105901,0
26753,0
76068,0
79743,1
23858,1
68737,0
51516,0
96783,0
2523,0
34666,0
16634,0
4296,0
64067,0
66276,0
136928,0
123242,0
121251,0
137024,0
119326,0
62668,0
82783,0
21944,0
106958,0
95266,1
57061,1
15083,0
125852,0
90682,0
83135,0
81357,0
61330,0
117592,0
41599,0
52212,0
43161,0
29274,0
139120,0
43548,0
25208,0
57466,0
60648,0
87684,0
54538,1
56768,0
7366,1
48369,0
103349,0
99614,0
58092,0
103897,0
57390,0
51721,1
122139,0
13810,0
1920,0
138921,0
56504,0
29821,0
6762,0
120818,0
28943,0
52353,1
12140,1
8239,0
20161,0
36664,0
2024,0
15895,1
84900,0
96230,0
128911,0
11485,0
92648,1
53017,1
12136,0
102684,0
8843,0
127214,0
139330,0
49580,0
46749,1
8285,0
140349,0
22895,0
59021,0
58901,0
101726,0
133014,0
26506,0
105209,0
126452,0
8488,1
61526,0
55586,0
82189,0
13660,0
17005,1
58211,0
72840,0
82314,0
114985,0
17282,0
68035,1
9705,0
89676,0
137649,0
42721,0
43610,0
65360,0
127812,0
108544,0
43345,0
132461,0
29657,0
95615,0
50348,0
103628,0
92794,0
125572,0
58125,0
53484,0
17390,0
55146,0
2021,0
98591,0
100439,1
30420,0
11045,0
104817,0
24658,0
129356,0
4544,0
66898,0
47337,0
39110,0
132113,0
55908,0
22095,0
68419,0
59449,0
89331,0
83788,0
95653,0
13677,0
138532,0
41981,0
39564,0
28581,1
69658,0
77957,1
64793,0
118047,0
92964,0
67597,0
35606,0
56861,0
35089,0
80593,0
51435,0
85440,0
56509,0
129485,0
4341,0
97680,0
38348,1
122581,1
47012,0
48257,0
13725,0
28492,0
105,0
80878,0
49151,0
137696,0
92062,1
14816,0
99212,0
101645,0
58130,0
62883,0
129621,0
11194,0
52115,0
60851,1
5432,0
130578,0
34309,0
106772,0
136497,0
120869,0
40852,0
90305,0
95231,0
53486,0
48080,0
60187,1
32586,0
120584,1
85425,0
90329,0
108310,0
110266,0
58028,0
131932,1
95185,1
133957,0
41642,0
96674,1
101775,0
134560,0
29562,0
102382,1
38876,0
64258,0
1182,0
16268,0
138424,0
38500,0
98129,1
36848,1
126622,0
11492,0
127555,1
97588,0
78299,0
76962,0
136068,0
97749,0
3793,0
119588,1
94499,1
37206,0
135998,1
107493,0
73685,1
92541,0
15511,1
78214,0
1643,1
110657,0
94941,1
98064,0
7821,1
105639,0
93489,0
131299,0
105344,0
88109,0
136234,0
35575,1
124274,0
29253,0
113298,0
76127,0
51559,0
19900,0
56936,1
61226,1
133921,0
21309,0
56592,1
135317,0
102173,1
48589,0
46077,0
42667,0
74181,0
980,0
47976,1
57157,0
25605,0
13786,0
117202,0
66117,0
52808,0
94572,0
129135,0
120718,0
93952,0
37345,0
15974,0
44395,0
104170,0
96802,0
61713,0
96457,0
14213,0
774,1
73637,0
56566,1
41518,0
56429,0
114668,0
93516,0
10972,0
3807,1
138577,0
127426,0
43103,1
99262,0
51202,0
31455,0
33414,1
94530,1
9734,0
34480,1
28026,1
121454,1
18745,0
55699,0
832,0
48195,0
21965,0
73558,0
22823,0
23066,0
83142,0
48288,0
139135,1
38935,0
91844,0
3353,0
20630,0
5100,0
59168,0
72292,0
140400,0
115107,0
93432,0
43803,1
91842,0
80598,0
97557,1
91000,0
38743,1
94317,0
65972,0
105071,0
118438,1
18338,1
72318,0
76448,0
22588,0
99653,0
3627,0
129657,0
108791,1
116755,1
46399,0
4441,0
135274,0
1461,0
44483,0
34189,0
45775,0
27060,0
136673,0
119454,0
46629,0
99440,0
27062,0
205,1
116308,1
127025,0
46514,0
62852,0
93552,0
113188,1
132821,0
85117,0
138224,0
92041,0
56748,0
5720,0
24116,0
1866,0
48629,0
135840,0
4961,0
19217,0
69197,0
112842,0
17456,1
78393,0
131642,0
14305,0
48718,0
47866,0
31404,1
29803,0
57075,0
126380,0
1875,0
88831,0
95562,1
63476,1
126023,0
120669,0
90332,0
6829,0
112655,0
31421,0
135196,0
51931,0
106656,0
50051,0
18637,1
87438,1
113863,1
130591,0
15190,0
10385,0
62335,0
114791,0
33193,0
113554,0
26904,1
55260,0
76367,0
58413,0
12795,1
21978,0
119598,0
96670,0
128753,0
109608,0
12627,0
75841,0
31821,0
80895,0
13868,0
53494,0
24453,0
135327,1
64239,0
61285,0
102760,1
104702,0
109673,0
116192,0
129334,0
90740,0
51318,0
111020,0
42084,0
71377,1
31723,0
39735,0
34805,0
130404,0
23059,0
63914,0
110464,0
71535,0
17419,1
51836,0
55774,0
58419,0
115439,0
134273,0
121453,0
122545,0
122165,1
63876,0
659,0
128904,0
8733,0
38203,0
46705,0
25836,0
96772,0
33785,0
83928,0
87568,1
21766,0
135652,0
68490,0
60788,0
53140,1
107618,0
6955,0
94138,0
25139,0
79724,0
13793,0
23219,0
120225,1
115747,0
16998,0
48381,0
35160,0
22023,0
18142,0
37751,0
65079,0
67865,0
38573,0
74166,0
67104,0
132899,0
30496,0
117290,0
118106,0
107675,1
72035,0
68773,0
86880,0
53505,0
82211,0
50858,0
79360,0
43559,0
60353,0
109106,0
4910,0
49657,0
77727,0
5575,0
9055,1
93709,1
52409,0
49634,0
126518,0
73162,1
54316,0
37098,0
99203,0
93309,0
18410,1
100589,0
122863,0
109257,0
110741,1
23093,0
81656,0
10498,0
21962,0
44700,0
81558,0
61898,0
10658,1
83446,0
18569,0
120716,0
106158,1
58566,0
138871,0
111411,0
109391,0
29287,0
72579,0
56624,0
7167,0
8384,0
21082,0
110697,0
126243,0
34864,0
65701,0
46556,0
112086,1
33600,0
29428,0
101815,0
98569,1
28780,0
19719,0
71315,1
38227,0
85015,0
81121,0
115009,0
24581,1
100242,1
139792,0
124499,0
61976,0
124547,1
108113,0
99204,0
22276,0
26910,1
110863,0
23088,0
104450,0
20066,0
139726,0
57124,1
68267,0
62134,0
95792,1
49724,1
98106,0
22654,0
122093,0
124217,0
139428,0
12099,0
139021,0
135859,0
63751,1
103743,0
134166,0
93572,1
122122,0
80668,1
82055,0
127736,0
140120,0
108506,1
130796,0
43136,1
99839,1
58284,0
73366,0
87947,1
72563,0
60196,0
130290,0
35948,0
93957,0
37470,0
1053,0
68636,0
25655,0
121920,0
95532,0
59244,0
2856,0
90161,0
118517,0
88973,0
119896,0
24608,0
39635,0
76678,0
19991,0
35952,0
22592,0
103407,0
75456,0
52975,0
47549,0
24079,0
66214,0
131857,1
26466,0
14426,0
122871,0
39228,1
42944,0
109734,0
130185,1
91051,0
3871,0
3079,0
131343,0
82879,0
22423,1
76510,1
128236,0
34098,1
7745,0
98619,1
112094,1
13281,0
21569,0
96647,1
52584,1
73365,0
46549,0
49868,0
38895,0
38827,0
53681,0
117538,0
25452,0
54909,0
106969,0
97001,0
135934,0
1268,0
117435,1
88879,1
109109,0
77863,0
94909,0
3729,0
121098,1
83849,0
15637,1
50658,0
17260,0
38086,1
94501,0
109775,0
124975,1
2096,0
101157,0
37082,0
17936,1
91393,0
54352,0
10003,0
134986,0
121793,0
80029,0
122444,0
42561,0
1809,0
118350,0
80813,1
137091,0
118253,0
53749,0
41557,0
27497,0
71160,1
133691,0
77998,0
30514,0
110197,0
41279,0
121215,1
50897,1
123032,0
134577,0
68255,0
129336,0
33471,0
21716,0
25730,0
39990,0
66221,0
25195,0
99829,0
106651,0
85807,0
9369,0
29868,0
33729,1
99608,0
13515,0
54195,0
132791,0
14664,0
109077,0
33212,1
43711,0
132180,0
26697,0
56303,0
53128,0
44934,0
23345,0
91928,0
30,1
36837,0
87294,0
13050,0
139704,0
15743,0
37078,0
78080,0
67920,0
100554,0
117360,1
66906,1
22141,0
82619,0
40667,0
91805,0
81278,0
18098,0
93907,1
65248,0
77019,0
138068,0
44409,0
2526,0
104973,1
65455,0
25828,0
89118,0
39113,0
51544,0
55688,0
93116,0
95916,1
38911,1
52094,0
94503,0
137527,0
42402,0
90765,0
113820,0
95687,0
14490,0
114639,0
13162,0
114173,0
95627,0
57374,0
82645,1
118016,1
33528,0
90486,0
98373,0
65729,0
137468,0
34818,0
64148,0
60080,0
102404,0
49773,1
82752,1
29355,0
50595,1
81272,1
138039,0
96365,0
18858,0
74012,0
92952,0
85553,0
21046,0
118310,0
97470,0
102161,0
107635,0
4586,0
52877,0
107114,0
13075,0
140483,0
88632,1
116582,0
53725,1
106249,0
119664,0
139146,0
114101,1
84134,0
118244,0
18695,0
61860,0
22730,0
83395,0
84678,1
64909,0
30429,0
92378,0
91760,0
85239,0
78229,0
3027,0
82516,0
65779,0
14809,1
122044,0
130336,0
95547,0
41445,1
10004,1
47978,1
100035,0
53871,0
105715,0
105425,1
35100,0
22751,0
60530,0
132786,1
82206,0
139587,0
60255,0
13526,0
86319,0
124647,0
88634,0
100619,1
42052,0
127250,0
53993,0
33718,0
110191,1
77411,1
92050,0
17822,0
102743,0
76636,0
68224,0
26250,0
34485,0
38485,0
122727,0
126762,0
6967,0
100980,0
131131,0
123589,0
29794,0
72274,1
1986,0
138461,0
35331,0
76929,0
7232,0
121738,0
14045,0
28296,0
87394,0
99529,0
48299,0
95818,0
57960,0
47342,0
100211,0
65860,0
7943,0
2664,0
21303,0
70482,0
109904,1
128009,1
21468,0
121368,0
48030,0
69475,0
119518,0
44397,0
45024,0
5516,0
12595,0
49582,1
106185,1
15586,0
135297,0
114257,0
47622,0
85626,0
87954,0
28130,0
74567,0
19784,1
97718,1
126752,1
21742,0
109910,0
78443,0
69992,0
23379,1
133396,1
40734,1
135594,0
90107,0
4272,0
54528,0
98133,0
127042,0
13765,0
136551,0
38486,0
66804,1
59720,0
47981,1
97882,0
92007,1
119975,0
51501,0
20677,0
133723,0
41278,0
120496,0
23190,0
116398,0
116246,0
27848,0
89465,0
94288,0
25664,0
110089,0
29742,0
7826,0
3260,1
121401,0
18814,0
63178,1
67353,1
132974,0
101148,1
65894,0
39975,0
127607,0
1474,0
126315,0
113373,0
134791,0
86823,1
99563,0
56209,0
58153,0
97947,0
126033,0
16429,0
106478,0
117044,0
125923,0
31759,1
8986,0
108303,0
45288,1
30250,0
132739,0
86023,0
75609,0
96060,0
135661,0
35913,0
138559,1
117168,0
5096,0
56828,0
221,0
102901,1
125383,0
20545,0
93518,0
8498,0
34326,0
138641,0
11300,0
96794,0
39548,1
10865,0
62839,0
39295,0
1831,0
92790,0
136956,0
99990,0
128430,0
136335,0
2891,0
108133,0
29468,0
83534,0
44545,0
56198,0
20250,1
13340,0
50707,1
55829,0
136644,0
32921,0
112746,0
61408,0
76084,1
32947,0
63498,0
129413,0
111121,0
83054,0
59255,0
38510,0
27606,0
6214,0
104437,0
111730,0
57955,0
37303,0
125622,0
50473,1
127783,0
1995,0
21786,0
129714,1
121682,0
49538,0
112179,1
43611,0
59039,0
126604,1
59003,0
7529,0
21763,1
110204,0
132941,1
139500,1
134000,1
89973,0
15946,0
123547,0
94537,0
54332,1
93645,0
48596,1
44766,0
118977,0
137432,0
80421,0
66240,1
104874,0
71452,0
14616,0
31617,0
76734,0
89236,0
136168,0
136657,0
87060,0
68886,0
118641,0
118269,1
92686,0
84877,0
22985,0
78134,0
49244,1
23926,1
57739,1
391,0
101952,0
46090,1
19908,0
65243,0
11389,0
77219,0
109969,0
70578,0
134829,1
21623,0
22558,1
35478,1
117716,0
123050,0
101777,0
91714,0
84301,1
108457,0
38432,0
73441,0
72874,0
5061,0
90939,0
105648,0
91528,0
7136,0
129178,0
76728,0
116900,1
129837,0
122902,0
71556,0
65604,0
37254,0
140556,0
40412,0
3804,0
125012,0
57440,0
136966,0
74257,0
118862,0
55438,0
120532,0
52801,1
17754,0
106385,1
22439,0
6034,1
12305,0
91961,1
38422,0
101479,1
139602,0
36526,0
54260,0
86349,0
125618,0
54020,1
122680,0
82839,0
38775,0
107758,0
128365,0
128750,0
52570,0
53683,0
33213,0
30190,0
77368,0
48573,0
6298,0
11632,0
37686,0
15544,1
140224,0
94550,0
120573,1
77611,0
138877,0
55119,1
41083,0
40199,0
96661,0
117025,0
44199,1
80500,0
68370,0
17284,0
2830,1
25698,0
51784,0
42399,0
102749,0
10809,1
80681,0
85732,0
138186,0
76675,0
20188,0
110612,0
77927,0
139189,0
126382,0
63264,0
112707,0
41332,0
64327,0
127468,0
1547,0
61266,0
12125,0
92498,0
78353,0
64468,0
51984,0
27146,0
96074,0
111805,1
2688,0
38551,0
118782,0
135874,0
83924,0
132593,0
35019,0
116194,0
24461,0
107318,1
31720,1
68853,0
53784,0
31006,0
71353,0
3446,0
24259,0
54859,0
34715,0
68073,0
8749,0
126356,0
72843,0
48599,0
94128,1
24892,0
138122,0
3621,0
15523,0
102806,0
77523,0
20091,0
139448,0
104638,0
54500,0
32719,0
47909,0
32094,1
101517,0
128247,0
65556,0
42229,0
134073,0
30695,0
110859,0
104321,0
26387,0
60931,0
95884,0
2299,0
115335,0
48035,0
101266,0
110586,0
42454,1
137948,0
87171,0
38788,0
114975,0
26557,0
5420,1
99372,0
95993,0
77888,0
28409,0
21649,1
36412,1
88983,1
119525,0
31046,0
41417,0
4750,0
87174,1
27401,1
81370,1
122691,0
66504,0
96770,1
98982,1
74197,0
35303,0
43039,0
37495,0
99170,0
94391,0
29220,1
39107,0
95090,0
125627,0
23612,1
112044,0
17497,0
84091,0
15260,0
67274,0
74460,0
58238,0
81435,1
61365,0
22901,0
133595,0
16599,0
47756,0
54509,0
88745,0
75829,1
125818,0
114567,0
104357,1
4003,0
53813,0
18017,0
122283,1
56622,0
100055,0
119294,0
54638,0
83833,0
64980,0
80163,0
21793,0
98743,0
133830,0
55962,1
129083,0
87513,0
131939,0
2726,1
45637,0
124812,0
55740,0
69794,0
87590,0
87461,0
117637,0
77067,1
128940,1
104434,0
105094,0
98882,0
44351,0
137923,0
71176,0
27305,1
135277,0
55464,0
40853,0
34916,0
43379,0
24227,0
76632,0
61804,0
40476,0
135561,0
79386,0
12944,1
70808,0
110473,1
26967,1
29781,1
120577,0
26988,0
112327,0
96764,1
12116,0
18153,0
140281,0
114930,0
65785,0
78418,1
11116,1
124280,1
68302,0
1275,0
86374,0
10024,1
54354,0
15276,0
128550,0
39560,0
95906,0
79566,0
74493,0
54265,0
22400,0
109667,0
132920,0
121360,0
132152,0
34174,0
16984,1
58984,0
7375,0
92287,1
1453,1
49865,0
15189,0
34054,0
16640,0
72412,0
30019,0
68996,0
52811,1
36780,1
121606,0
76810,0
55733,1
167,0
49023,0
93242,1
9769,0
38110,0
81622,0
11217,0
109699,0
44179,0
48748,0
12990,0
68542,0
88173,0
48270,0
99549,0
103697,1
62637,0
110402,0
66470,0
138594,0
23793,0
130556,1
102310,0
60198,0
128414,0
94413,0
54235,0
124175,0
16577,0
1441,0
123,0
7867,1
126637,0
79817,1
137682,0
76987,1
55355,1
123579,0
103543,0
1994,0
35173,0
70127,0
45557,1
39868,0
20078,0
126550,0
16895,1
84211,0
47601,0
25761,0
76934,0
82866,1
5361,0
4601,0
39917,0
66761,0
23351,0
3206,0
104578,0
24949,1
106437,1
28069,0
28162,1
96347,1
22172,0
126308,1
83156,1
28240,0
132823,0
39756,1
32112,0
132978,0
17670,0
41788,0
62244,0
53172,0
138993,0
140225,0
42533,0
94228,0
131351,1
10174,0
49260,0
13596,1
80977,1
90996,0
118365,0
127828,0
28469,0
79279,0
50799,0
69100,0
83689,0
14435,0
3456,0
112993,0
120587,0
41433,1
40966,1
74094,0
9142,0
93728,0
55869,1
85267,0
7520,0
120621,0
125816,0
7741,0
57829,0
70722,0
74835,1
8394,0
27446,1
22310,0
137208,0
18344,1
83483,0
71110,0
41028,0
84226,0
112724,0
25872,0
138213,0
103859,0
22015,0
34088,0
76128,0
44081,1
37173,0
10571,0
65431,0
87151,1
33628,0
140208,0
37381,0
81597,1
27264,0
101106,0
55653,0
69842,0
28904,0
